prompt_id,example_id,render_status,eval_score,eval_source,code_len,wallclock_s,started_at,finished_at
008049fc-f49b-4a63-8115-9c01f49e9a83,25b69157-9865-4f50-ad00-274996f2a7b8,success,9.2,agent_submitted,1289,91,2026-06-18T07:25:13Z,2026-06-18T07:26:44Z
00880a28-ee19-4c38-97c2-a26fcfc862a7,cc83193a-5909-4964-adf0-c3c3e3f670a2,success,9.2,agent_submitted,799,61,2026-06-18T07:26:44Z,2026-06-18T07:27:45Z
00a8f375-e5d0-4c1d-8ad9-06985c0a5ec7,cefe683b-fa49-4de2-b598-7f2666d9cc0f,success,5.4,composite,1597,152,2026-06-18T07:27:45Z,2026-06-18T07:30:17Z
00bd1aed-ed75-4e1c-a860-13d254afd967,09e8bcf6-bc13-463a-970d-fb983649adee,success,9.2,agent_submitted,682,61,2026-06-18T07:30:17Z,2026-06-18T07:31:18Z
00d1eb27-97ff-49bc-a78b-c0752af7e439,fdeef377-c57d-494e-a99e-5bb875da2830,success,2.0,code_only,1388,151,2026-06-18T07:31:18Z,2026-06-18T07:33:49Z
020c6ab4-f8f6-4d8c-90de-c0051f15c9d7,2c4b41cd-316e-4964-a239-49a279016b3e,error,1.0,assertion_fail,4815,818,2026-06-18T07:33:49Z,2026-06-18T07:47:27Z
